TeamName,TeamCity,TeamState,TeamLocationLat,TeamLocationLong
Boston Celtics,Boston,Massachusetts,42.366303,-71.062228
Brooklyn Nets,New York City,New York,40.68265,-73.974689
New York Knicks,New York City,New York,40.750556,-73.993611
Philadelphia 76ers,Philadelphia,Pennsylvania,39.901111,-75.171944
Toronto Raptors,Toronto,Ontario,43.643333,-79.379167
Chicago Bulls,Chicago,Illinois,41.880556,-87.674167
Cleveland Cavaliers,Cleveland,Ohio,41.496389,-81.688056
Detroit Pistons,Detroit,Michigan,42.341111,-83.055
Indiana Pacers,Indianapolis,Indiana,39.763889,-86.155556
Milwaukee Bucks,Milwaukee,Wisconsin,43.043611,-87.916944
Atlanta Hawks,Atlanta,Georgia,33.757222,-84.396389
Charlotte Hornets,Charlotte,North Carolina,35.225,-80.839167
Miami Heat,Miami,Florida,25.781389,-80.188056
Orlando Magic,Orlando,Florida,28.539167,-81.383611
Washington Wizards,Washington,D.C.,38.898056,-77.020833
Denver Nuggets,Denver,Colorado,39.748611,-105.0075
Minnesota Timberwolves,Minneapolis,Minnesota,44.979444,-93.276111
Oklahoma City Thunder,Oklahoma City,Oklahoma,35.463333,-97.515
Portland Trail Blazers,Portland,Oregon,45.531667,-122.666667
Utah Jazz,Salt Lake City,Utah,40.768333,-111.901111
Golden State Warriors,San Francisco,California,37.768056,-122.3875
Los Angeles Clippers,Los Angeles,California,34.043056,-118.267222
Los Angeles Lakers,Los Angeles,California,34.043056,-118.267222
Phoenix Suns,Phoenix,Arizona,33.445833,-112.071389
Sacramento Kings,Sacramento,California,38.649167,-121.518056
Dallas Mavericks,Dallas,Texas,32.790556,-96.810278
Houston Rockets,Houston,Texas,29.750833,-95.362222
Memphis Grizzlies,Memphis,Tennessee,35.138333,-90.050556
New Orleans Pelicans,New Orleans,Louisiana,29.948889,-90.081944
San Antonio Spurs,San Antonio,Texas,29.426944,-98.4375